Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number,Weekday
2025-01-03,TOYT,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7110626,Friday
2024-12-19,DODG,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2979542,Thursday
2024-12-19,,,,WHI,,IL,10300 S. Doty,(773) 568-8495,2979544,Thursday
2025-01-03,FORD,PK,,RED,,IL,701 N. Sacramento,(773) 265-7605,7110627,Friday
2025-01-14,CHEV,LL,,BLK,EB92250,IL,701 N. Sacramento,(773) 265-7605,7111751,Tuesday
2024-12-19,GENE,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2979545,Thursday
2024-12-12,HOND,4D,,SIL,EW16011,IL,701 N. Sacramento,(773) 265-7605,7108353,Thursday
2025-01-14,HOND,2D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2981173,Tuesday
2024-12-12,HYUN,4D,,SIL,EP12908,IL,701 N. Sacramento,(773) 265-7605,7108352,Thursday
2025-01-03,HOND,4D,,GLD,,IL,701 N. Sacramento,(773) 265-7605,7110628,Friday
2024-12-08,FORD,LL,,GRY,EY74477,IL,10300 S. Doty,(773) 568-8495,2978816,Sunday
2024-12-10,SUBA,4D,,WHI,EN22314,IL,701 N. Sacramento,(773) 265-7605,7108152,Tuesday
2025-01-10,KIA,LL,,GRY,FWC225,IL,10300 S. Doty,(773) 568-8495,2980897,Friday
2024-12-12,HOND,4D,,BLU,DT68240,IL,701 N. Sacramento,(773) 265-7605,7108354,Thursday
2024-12-24,NISS,LL,,GRY,EW63824,IL,701 N. Sacramento,(773) 265-7605,7109864,Tuesday
2024-12-19,,,,WHI,,IL,10300 S. Doty,(773) 568-8495,2979543,Thursday
2024-12-24,HYUN,4D,,GRY,DK93441,IL,701 N. Sacramento,(773) 265-7605,7109866,Tuesday
2024-12-10,NISS,4D,,GRY,EE32243,IL,10300 S. Doty,(773) 568-8495,2978960,Tuesday
2025-01-14,HYUN,4D,,BLK,FC13861,IL,701 N. Sacramento,(773) 265-7605,7111752,Tuesday
2025-01-16,NISS,4D,,MAR,ET76881,IL,10300 S. Doty,(773) 568-8495,2981232,Thursday
2024-12-08,VOLK,4D,,WHI,ED95511,IL,400 E. Lower Wacker,(312) 744-7550,0331736,Sunday
2025-01-12,CHEV,LL,SUB,BLK,WH-2047A,WI,701 N. Sacramento,(773) 265-7605,7111621,Sunday
2024-12-12,JEEP,LL,,SIL,CZ38663,IL,701 N. Sacramento,(773) 265-7605,7108288,Thursday
2025-01-02,NISS,4D,SEN,SIL,ET37289,IL,10300 S. Doty,(773) 568-8495,2980449,Thursday
2024-12-08,BMW,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7107957,Sunday
2024-12-12,VOLK,LL,,BLU,DGM842,MI,400 E. Lower Wacker,(312) 744-7550,0331999,Thursday
2025-01-16,NISS,4D,,SIL,DQ75765,IL,701 N. Sacramento,(773) 265-7605,7111862,Thursday
2024-12-07,CHEV,4D,,GRY,02873RF,MI,10300 S. Doty,(773) 568-8495,2978699,Saturday
2024-12-12,NISS,LL,,WHI,DD17520,IL,701 N. Sacramento,(773) 265-7605,7108355,Thursday
2024-12-10,CHEV,4D,,GLD,797524,IL,10300 S. Doty,(773) 568-8495,2978961,Tuesday
2025-01-04,HOND,4D,,RED,EV40234,IL,701 N. Sacramento,(773) 265-7605,2980540,Saturday
2024-12-24,DODG,4D,,BLU,EZ17640,IL,701 N. Sacramento,(773) 265-7605,7109863,Tuesday
2024-12-19,CHEV,4D,,BLU,CJ23284,IL,10300 S. Doty,(773) 568-8495,2979546,Thursday
2025-01-02,VOLK,4D,,BLK,EV84825,IL,10300 S. Doty,(773) 568-8495,2980451,Thursday
2025-01-14,FORD,PK,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7111754,Tuesday
2024-12-22,CHEV,2D,,WHI,DA65320,IL,10300 S. Doty,(773) 568-8495,2979711,Sunday
2024-12-12,LEXS,LL,,TAN,,IL,701 N. Sacramento,(773) 265-7605,7108290,Thursday
2024-12-12,BUIC,4D,,BLK,EB57996,IL,701 N. Sacramento,(773) 265-7605,7108289,Thursday
2025-01-16,NISS,PK,TK,BLK,3227212B,IL,701 N. Sacramento,(773) 265-7605,7111861,Thursday
2024-12-10,HYUN,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2978957,Tuesday
2024-12-18,DODG,SW,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7109142,Wednesday
2024-12-12,FORD,LL,,BLK,DU60949,IL,701 N. Sacramento,(773) 265-7605,7108356,Thursday
2024-12-24,HOND,4D,,GRY,,MI,701 N. Sacramento,(773) 265-7605,7109829,Tuesday
2024-12-18,FORD,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2979422,Wednesday
2025-01-10,BUIC,2D,,WHI,EK90591,IL,10300 S. Doty,(773) 568-8495,2980899,Friday
2025-01-03,TOYT,4D,,WHI,BZ32JR,FL,701 N. Sacramento,(773) 265-7605,7110636,Friday
2024-12-19,CHEV,4D,,SIL,006902A8,IL,701 N. Sacramento,(773) 265-7605,7109262,Thursday
2025-01-12,CADI,LL,,BLK,R546102,IL,10300 S. Doty,(773) 568-8495,2981072,Sunday
2025-01-04,HYUN,4T,,GRY,CU64011,IL,10300 S. Doty,(773) 568-8495,2980543,Saturday
2024-12-07,CHEV,4D,,SIL,EV38671,IL,701 N. Sacramento,(773) 265-7605,7107614,Saturday
2024-12-19,CHEV,4D,,SIL,DV12282,IL,701 N. Sacramento,(773) 265-7605,7109265,Thursday
2025-01-12,HYUN,LL,,SIL,DV13437,IL,10300 S. Doty,(773) 568-8495,2981071,Sunday
2024-12-07,FORD,LL,,BLK,CR39875,IL,701 N. Sacramento,(773) 265-7605,7107622,Saturday
2024-12-12,TOYT,LL,,MAR,EK77707,IL,701 N. Sacramento,(773) 265-7605,7108351,Thursday
2024-12-12,CHEV,LL,,GRY,ER77172,IL,400 E. Lower Wacker,(312) 744-7550,0332006,Thursday
2025-01-02,CHEV,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2980456,Thursday
2025-01-02,CHEV,4D,,BLK,ET86634,IL,10300 S. Doty,(773) 568-8495,2980458,Thursday
2025-01-04,BMW,4D,,WHI,D430947,IL,10300 S. Doty,(773) 568-8495,2980550,Saturday
2025-01-03,AUDI,4T,,BLU,DG90056,IL,701 N. Sacramento,(773) 265-7605,7110637,Friday
2025-01-04,GMC,LL,,WHI,LON878,KY,400 E. Lower Wacker,(312) 744-7550,0333532,Saturday
2025-01-08,FORD,PK,TK,BLK,,,701 N. Sacramento,(773) 265-7605,7111151,Wednesday
2024-12-22,GMC,LL,,GRY,EL16782,IL,701 N. Sacramento,(773) 265-7605,7109618,Sunday
2025-01-16,HOND,4D,,GRY,EY60696,IL,701 N. Sacramento,(773) 265-7605,7111865,Thursday
2024-12-12,HYUN,4D,,TAN,GD9020,IL,10300 S. Doty,(773) 568-8495,2979024,Thursday
2025-01-02,JEEP,LL,,BLK,AG46731,IL,10300 S. Doty,(773) 568-8495,2980459,Thursday
2024-12-22,AUDI,LL,,BLK,BG57895,IL,701 N. Sacramento,(773) 265-7605,7109686,Sunday
2024-12-22,TOYT,4D,,WHI,DQ88156,IL,701 N. Sacramento,(773) 265-7605,7109687,Sunday
2024-12-22,SUBA,SW,,SIL,DY24912,IL,701 N. Sacramento,(773) 265-7605,7109685,Sunday
2025-01-12,FORD,4D,,WHI,3HS684,OK,10300 S. Doty,(773) 568-8495,2981077,Sunday
2024-12-07,MERZ,LL,,BLK,2661472,IL,10300 S. Doty,(773) 568-8495,2978701,Saturday
2024-12-22,HOND,LL,,SIL,BN33234,IL,701 N. Sacramento,(773) 265-7605,7109689,Sunday
2024-12-22,CHEV,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7109623,Sunday
2025-01-02,ACUR,4T,,GRY,,IL,10300 S. Doty,(773) 568-8495,2980457,Thursday
2024-12-09,NISS,4D,,GRY,S852033,IN,701 N. Sacramento,(773) 265-7605,7107982,Monday
2025-01-12,HYUN,4D,,GRN,,,701 N. Sacramento,(773) 265-7605,7111623,Sunday
2025-01-12,HYUN,LL,,GRY,BW86829,IL,701 N. Sacramento,(773) 265-7605,7111624,Sunday
2025-01-12,CHEV,4D,,WHI,3063045B,IL,10300 S. Doty,(773) 568-8495,2981078,Sunday
2024-12-19,JEEP,LL,,GRY,5833BH,IL,10300 S. Doty,(773) 568-8495,2979547,Thursday
2024-12-19,AUDI,4D,,WHI,EB99139,IL,701 N. Sacramento,(773) 265-7605,7109268,Thursday
2024-12-19,CHEV,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2979548,Thursday
2024-12-22,TOYT,4D,,BLK,DX84184,IL,701 N. Sacramento,(773) 265-7605,7109714,Sunday
2024-12-16,,,,,,IL,10300 S. Doty,(773) 785-9752,17,Monday
2024-12-19,PONT,4D,,RED,985AB707,IL,10300 S. Doty,(773) 568-8495,2979549,Thursday
2025-01-06,LAND,LL,,BLK,,,701 N. Sacramento,(773) 265-7605,7111054,Monday
2025-01-04,KIA,4D,,GRY,DB64112,IL,10300 S. Doty,(773) 568-8495,2980552,Saturday
2024-12-22,CHEV,4D,,SIL,EM73251,IL,701 N. Sacramento,(773) 265-7605,7109710,Sunday
2025-01-08,MAZD,4D,,BLK,ER91092,IL,10300 S. Doty,(773) 568-8495,2980792,Wednesday
2025-01-18,CHEV,LL,,TAN,,IL,10300 S. Doty,(773) 568-8495,2981391,Saturday
2025-01-03,FORD,LL,,WHI,R839223,IL,701 N. Sacramento,(773) 265-7605,7110638,Friday
2025-01-08,CHEV,4D,,BLK,CR38325,IL,10300 S. Doty,(773) 568-8495,2980790,Wednesday
2024-12-22,NISS,4D,,BLK,TDC650,IN,701 N. Sacramento,(773) 265-7605,7109712,Sunday
2025-01-03,VOLV,4D,,BLK,N860053,IL,701 N. Sacramento,(773) 265-7605,7110639,Friday
2024-12-22,HOND,4D,,BLU,K630748,IL,701 N. Sacramento,(773) 265-7605,7109706,Sunday
2024-12-18,INFI,4D,,SIL,EC57960,IL,10300 S. Doty,(773) 568-8495,2979426,Wednesday
2024-12-18,MERC,4D,,WHI,FNF898,IA,10300 S. Doty,(773) 568-8495,2979425,Wednesday
2025-01-10,FORD,LL,,BLK,DY45050,IL,10300 S. Doty,(773) 568-8495,2980902,Friday
2024-12-18,NISS,4D,,GRY,CK54850,IL,701 N. Sacramento,(773) 265-1846,1548620,Wednesday
2024-12-18,LINC,4D,,SIL,ABN316,KY,701 N. Sacramento,(773) 265-1846,1548621,Wednesday
2024-12-22,HOND,4D,,BLK,DT54014,IL,701 N. Sacramento,(773) 265-7605,7109716,Sunday
2025-01-03,PONT,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7110553,Friday
2024-12-22,FORD,PK,,BLU,2843804B,IL,701 N. Sacramento,(773) 265-7605,7109699,Sunday
2024-12-08,TOYT,4D,,WHI,DQ21722,IL,10300 S. Doty,(773) 568-8495,2978837,Sunday
2024-12-09,FORD,LL,,GRY,DU74215,IL,701 N. Sacramento,(773) 265-7605,7108048,Monday
2024-12-22,SUBA,SW,,GRY,EU64950,IL,701 N. Sacramento,(773) 265-7605,7109711,Sunday
2024-12-12,HYUN,4D,,WHI,EA23649,IL,701 N. Sacramento,(773) 265-7605,7108291,Thursday
2025-01-13,BUIC,4T,,BLK,DH45005,IL,701 N. Sacramento,(773) 265-7605,7111629,Monday
2024-12-09,JEEP,LL,,GRY,,IL,10300 S. Doty,(773) 568-8495,2978854,Monday
2024-12-22,FORD,PK,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109709,Sunday
2024-12-09,BMW,4D,,SIL,EN53124,IL,701 N. Sacramento,(773) 265-7605,7107987,Monday
2024-12-22,KIA,4D,,BLU,EK59645,IL,701 N. Sacramento,(773) 265-7605,7109691,Sunday
2024-12-22,TOYT,4D,,GRN,EQ19607,IL,701 N. Sacramento,(773) 265-7605,7109697,Sunday
2025-01-03,CADI,4D,,WHI,EY65017,IL,701 N. Sacramento,(773) 265-7605,7110510,Friday
2025-01-04,FORD,4T,,GRY,EX92108,IL,701 N. Sacramento,(773) 265-7605,7110644,Saturday
2024-12-12,FORD,PK,,WHI,3869087B,IL,10300 S. Doty,(773) 568-8495,2979028,Thursday
2024-12-22,FORD,LL,,BLU,EU54686,IL,701 N. Sacramento,(773) 265-7605,7109705,Sunday
2025-01-18,GMC,VN,,TAN,,,10300 S. Doty,(773) 568-8495,2981394,Saturday
2025-01-04,TOYT,LL,,GRY,AVB4463,WI,701 N. Sacramento,(773) 265-7605,7110656,Saturday
2024-12-15,NISS,LL,,GRY,EY61625,IL,10300 S. Doty,(773) 568-8495,2979217,Sunday
2025-01-04,HOND,2T,,WHI,AD84248,IL,701 N. Sacramento,(773) 265-7605,7110649,Saturday
2024-12-22,HYUN,4D,,BLK,AC8575,IL,701 N. Sacramento,(773) 265-7605,7109707,Sunday
2024-12-09,BUIC,LL,,WHI,Z213301,IL,10300 S. Doty,(773) 568-8495,2978855,Monday
2025-01-04,CHRY,4T,,WHI,EJ25033,IL,701 N. Sacramento,(773) 265-7605,7110642,Saturday
2025-01-08,CHEV,4D,,GRY,ER55296,IL,10300 S. Doty,(773) 568-8495,2980794,Wednesday
2025-01-04,CHEV,4T,,GRY,DD53607,IL,701 N. Sacramento,(773) 265-7605,7110657,Saturday
2025-01-04,TOYT,LL,,BLU,AV17234,IL,701 N. Sacramento,(773) 265-7605,7110645,Saturday
2025-01-04,MERC,4T,,WHI,EA13355,IL,701 N. Sacramento,(773) 265-7605,7110646,Saturday
2024-12-12,BUIC,LL,,WHI,EQ88319,IL,701 N. Sacramento,(773) 265-7605,7108297,Thursday
2024-12-12,BMW,4D,,GRY,ET77041,IL,701 N. Sacramento,(773) 265-7605,7108298,Thursday
2025-01-08,DODG,CP,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7111155,Wednesday
2024-12-11,INFI,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7108077,Wednesday
2024-12-20,JEEP,LL,,BLK,DM32137,IL,10300 S. Doty,(773) 568-8495,2979563,Friday
2024-12-22,HOND,4D,,GRY,CV48479,IL,701 N. Sacramento,(773) 265-7605,7109704,Sunday
2024-12-25,MAZD,LL,,GRY,232,IL,400 E. Lower Wacker,(312) 744-7550,32,Wednesday
2024-12-31,FORD,4D,,WHI,ET90869,IL,701 N. Sacramento,(773) 265-7605,7110444,Tuesday
2024-12-12,MERZ,4D,,BLK,DA96440,IL,701 N. Sacramento,(773) 265-7605,7108295,Thursday
2025-01-08,FORD,LL,TK,BLK,7439GI,IL,701 N. Sacramento,(773) 265-7605,7111156,Wednesday
2024-12-31,NISS,4D,,BLK,FA73140,IL,10300 S. Doty,(773) 568-8495,2980353,Tuesday
2025-01-03,FORD,4D,,GRY,EL39538,IL,10300 S. Doty,(773) 568-8495,2980466,Friday
2024-12-22,TOYT,4D,,WHI,CB82144,IL,701 N. Sacramento,(773) 265-7605,7109703,Sunday
2025-01-04,VOLK,4T,,BLU,EF74125,IL,701 N. Sacramento,(773) 265-7605,7110653,Saturday
2024-12-22,KIA,SW,,GRY,20987AFT,WI,701 N. Sacramento,(773) 265-7605,7109717,Sunday
2025-01-06,HYUN,4D,,MAR,AFW8561,WI,400 E. Lower Wacker,(312) 744-7550,0333705,Monday
2025-01-13,TOYT,LL,,BLK,EV95807,IL,10300 S. Doty,(773) 568-8495,2981090,Monday
