Tow Date,Make,Color,Count
2024-12,ACUR,BGE,1
2024-12,ACUR,BLK,6
2024-12,ACUR,BLU,2
2024-12,ACUR,GRY,4
2024-12,ACUR,SIL,4
2024-12,ACUR,TAN,1
2024-12,ACUR,WHI,5
2024-12,ALFA,WHI,1
2024-12,AUDI,BLK,7
2024-12,AUDI,BLU,3
2024-12,AUDI,GRY,3
2024-12,AUDI,WHI,6
2024-12,AURA,BLK,1
2024-12,BMW,BLK,8
2024-12,BMW,BLU,3
2024-12,BMW,GRY,3
2024-12,BMW,SIL,2
2024-12,BMW,WHI,7
2024-12,BUIC,BGE,1
2024-12,BUIC,BLK,7
2024-12,BUIC,BLU,2
2024-12,BUIC,GLD,2
2024-12,BUIC,GRY,3
2024-12,BUIC,LGR,1
2024-12,BUIC,RED,2
2024-12,BUIC,SIL,6
2024-12,BUIC,TAN,1
2024-12,BUIC,WHI,10
2024-12,CADI,BLK,4
2024-12,CADI,BLU,1
2024-12,CADI,GRN,1
2024-12,CADI,GRY,1
2024-12,CADI,RED,1
2024-12,CADI,TAN,1
2024-12,CADI,WHI,2
2024-12,CHEV,BLK,33
2024-12,CHEV,BLU,8
2024-12,CHEV,BRO,2
2024-12,CHEV,CRM,1
2024-12,CHEV,DBL,2
2024-12,CHEV,GLD,3
2024-12,CHEV,GRN,1
2024-12,CHEV,GRY,23
2024-12,CHEV,LGR,1
2024-12,CHEV,MAR,4
2024-12,CHEV,PNK,1
2024-12,CHEV,RED,14
2024-12,CHEV,SIL,29
2024-12,CHEV,TAN,5
2024-12,CHEV,WHI,27
2024-12,CHRY,BGE,1
2024-12,CHRY,BLK,5
2024-12,CHRY,GRY,2
2024-12,CHRY,LBL,1
2024-12,CHRY,RED,1
2024-12,CHRY,SIL,7
2024-12,CHRY,WHI,1
2024-12,DODG,BLK,16
2024-12,DODG,BLU,5
2024-12,DODG,GRN,1
2024-12,DODG,GRY,10
2024-12,DODG,LBL,1
2024-12,DODG,MAR,1
2024-12,DODG,PLE,2
2024-12,DODG,RED,6
2024-12,DODG,SIL,5
2024-12,DODG,TAN,1
2024-12,DODG,WHI,9
2024-12,FORD,BLK,29
2024-12,FORD,BLU,11
2024-12,FORD,BRO,1
2024-12,FORD,DBL,2
2024-12,FORD,GLD,1
2024-12,FORD,GRN,4
2024-12,FORD,GRY,22
2024-12,FORD,MAR,3
2024-12,FORD,ONG,1
2024-12,FORD,RED,9
2024-12,FORD,SIL,16
2024-12,FORD,TAN,2
2024-12,FORD,WHI,33
2024-12,GENE,BLK,1
2024-12,GMC,BLK,3
2024-12,GMC,DBL,1
2024-12,GMC,GRN,1
2024-12,GMC,GRY,4
2024-12,GMC,MAR,1
2024-12,GMC,RED,1
2024-12,GMC,SIL,4
2024-12,GMC,TAN,1
2024-12,GMC,WHI,9
2024-12,HOND,BGE,1
2024-12,HOND,BLK,28
2024-12,HOND,BLU,15
2024-12,HOND,BRO,1
2024-12,HOND,BRZ,1
2024-12,HOND,DBL,3
2024-12,HOND,DGR,3
2024-12,HOND,GLD,2
2024-12,HOND,GRN,3
2024-12,HOND,GRY,42
2024-12,HOND,LBL,4
2024-12,HOND,LGR,1
2024-12,HOND,MAR,3
2024-12,HOND,PLE,1
2024-12,HOND,RED,6
2024-12,HOND,SIL,11
2024-12,HOND,TAN,4
2024-12,HOND,WHI,14
2024-12,HUMM,BLU,1
2024-12,HYUN,BLK,19
2024-12,HYUN,BLU,7
2024-12,HYUN,GRY,20
2024-12,HYUN,LGR,1
2024-12,HYUN,ONG,1
2024-12,HYUN,RED,4
2024-12,HYUN,SIL,9
2024-12,HYUN,TAN,1
2024-12,HYUN,WHI,8
2024-12,HYUN,YEL,2
2024-12,INFI,BLK,6
2024-12,INFI,BLU,3
2024-12,INFI,BRZ,1
2024-12,INFI,GRY,2
2024-12,INFI,SIL,5
2024-12,INFI,WHI,8
2024-12,JAGU,BLK,1
2024-12,JAGU,GRY,1
2024-12,JAGU,RED,1
2024-12,JAGU,WHI,2
2024-12,JEEP,BGE,1
2024-12,JEEP,BLK,25
2024-12,JEEP,BLU,6
2024-12,JEEP,DGR,2
2024-12,JEEP,GRN,2
2024-12,JEEP,GRY,22
2024-12,JEEP,MAR,1
2024-12,JEEP,ONG,1
2024-12,JEEP,RED,4
2024-12,JEEP,SIL,2
2024-12,JEEP,WHI,17
2024-12,JEEP,YEL,1
2024-12,KIA,BLK,11
2024-12,KIA,BLU,6
2024-12,KIA,GRN,2
2024-12,KIA,GRY,11
2024-12,KIA,LBL,1
2024-12,KIA,RED,3
2024-12,KIA,SIL,5
2024-12,KIA,WHI,10
2024-12,LAND,BLK,2
2024-12,LAND,BLU,1
2024-12,LAND,GRY,2
2024-12,LAND,WHI,2
2024-12,LEXS,BLK,4
2024-12,LEXS,BLU,1
2024-12,LEXS,GRY,5
2024-12,LEXS,MAR,1
2024-12,LEXS,SIL,3
2024-12,LEXS,TAN,1
2024-12,LEXS,WHI,3
2024-12,LINC,BLK,4
2024-12,LINC,BLU,1
2024-12,LINC,GRY,2
2024-12,LINC,MAR,1
2024-12,LINC,SIL,1
2024-12,LINC,WHI,1
2024-12,LNDR,BLK,1
2024-12,LNDR,BLU,1
2024-12,MASR,GRY,1
2024-12,MAZD,BLK,10
2024-12,MAZD,BLU,1
2024-12,MAZD,GRY,6
2024-12,MAZD,MAR,1
2024-12,MAZD,RED,4
2024-12,MAZD,SIL,2
2024-12,MAZD,WHI,5
2024-12,MERC,BGE,1
2024-12,MERC,BLK,3
2024-12,MERC,DBL,1
2024-12,MERC,RED,1
2024-12,MERC,WHI,1
2024-12,MERZ,BLK,9
2024-12,MERZ,GRY,2
2024-12,MERZ,WHI,7
2024-12,MINI,BLU,1
2024-12,MINI,SIL,1
2024-12,MITS,BLK,4
2024-12,MITS,GRY,5
2024-12,MITS,RED,1
2024-12,MITS,SIL,2
2024-12,MITS,WHI,1
2024-12,MONO,BLK,1
2024-12,NISS,BGE,1
2024-12,NISS,BLK,25
2024-12,NISS,BLU,9
2024-12,NISS,BRO,1
2024-12,NISS,CRM,1
2024-12,NISS,GRN,1
2024-12,NISS,GRY,32
2024-12,NISS,LBL,1
2024-12,NISS,MAR,5
2024-12,NISS,RED,6
2024-12,NISS,SIL,20
2024-12,NISS,TAN,1
2024-12,NISS,WHI,18
2024-12,OLDS,RED,1
2024-12,OTTE,BLK,1
2024-12,OTTE,BLU,1
2024-12,OTTE,SIL,1
2024-12,OTTE,WHI,1
2024-12,PLYM,BLU,1
2024-12,PONT,BLK,2
2024-12,PONT,BRZ,1
2024-12,PONT,DBL,1
2024-12,PONT,GRY,5
2024-12,PONT,RED,3
2024-12,PONT,SIL,1
2024-12,PORS,SIL,1
2024-12,PORS,WHI,1
2024-12,SAA,BLK,1
2024-12,SAA,MAR,1
2024-12,SATR,BLU,2
2024-12,SATR,GLD,1
2024-12,SATR,GRY,1
2024-12,SATR,TAN,1
2024-12,SATR,WHI,1
2024-12,SATU,BLK,1
2024-12,SATU,GRY,1
2024-12,SUBA,BLK,1
2024-12,SUBA,BLU,3
2024-12,SUBA,CRM,1
2024-12,SUBA,DBL,1
2024-12,SUBA,GRY,7
2024-12,SUBA,LGR,1
2024-12,SUBA,ONG,1
2024-12,SUBA,RED,1
2024-12,SUBA,SIL,5
2024-12,SUBA,WHI,6
2024-12,SUZI,BLK,1
2024-12,SUZI,BLU,1
2024-12,TESI,BGE,1
2024-12,TESL,BLK,3
2024-12,TESL,BLU,2
2024-12,TESL,WHI,2
2024-12,TOYO,GRY,1
2024-12,TOYT,BLK,16
2024-12,TOYT,BLU,9
2024-12,TOYT,BRO,1
2024-12,TOYT,CRM,1
2024-12,TOYT,DGR,2
2024-12,TOYT,GLD,5
2024-12,TOYT,GRN,2
2024-12,TOYT,GRY,37
2024-12,TOYT,LBL,1
2024-12,TOYT,MAR,2
2024-12,TOYT,RED,9
2024-12,TOYT,SIL,18
2024-12,TOYT,TAN,5
2024-12,TOYT,WHI,18
2024-12,TOYT,YEL,1
2024-12,TRLR,WHI,1
2024-12,VOLK,BLK,18
2024-12,VOLK,BLU,2
2024-12,VOLK,GRY,11
2024-12,VOLK,ONG,1
2024-12,VOLK,PLE,1
2024-12,VOLK,RED,2
2024-12,VOLK,SIL,1
2024-12,VOLK,TAN,1
2024-12,VOLK,WHI,14
2024-12,VOLV,BLK,1
2024-12,VOLV,GRY,1
2024-12,VOLV,TAN,1
2024-12,ZCZY,WHI,1
2025-01,ACUR,BLK,9
2025-01,ACUR,BLU,1
2025-01,ACUR,BRO,1
2025-01,ACUR,GRY,5
2025-01,ACUR,RED,1
2025-01,ACUR,SIL,1
2025-01,ALFA,GRY,1
2025-01,ALFA,WHI,1
2025-01,AMER,BLU,1
2025-01,AUDI,BLK,2
2025-01,AUDI,BLU,3
2025-01,AUDI,GRY,3
2025-01,AUDI,RED,2
2025-01,AUDI,SIL,1
2025-01,AUDI,WHI,4
2025-01,BMW,BLK,6
2025-01,BMW,BLU,3
2025-01,BMW,GRY,6
2025-01,BMW,RED,1
2025-01,BMW,SIL,6
2025-01,BMW,WHI,2
2025-01,BUIC,BGE,1
2025-01,BUIC,BLK,10
2025-01,BUIC,BLU,1
2025-01,BUIC,BRZ,1
2025-01,BUIC,GRY,4
2025-01,BUIC,LBL,1
2025-01,BUIC,MAR,2
2025-01,BUIC,RED,1
2025-01,BUIC,SIL,6
2025-01,BUIC,TAN,3
2025-01,BUIC,WHI,7
2025-01,CADI,BLK,13
2025-01,CADI,GLD,1
2025-01,CADI,GRY,2
2025-01,CADI,RED,1
2025-01,CADI,TAN,1
2025-01,CADI,WHI,5
2025-01,CHEV,BGE,5
2025-01,CHEV,BLK,45
2025-01,CHEV,BLU,14
2025-01,CHEV,BRO,3
2025-01,CHEV,DBL,1
2025-01,CHEV,GLD,2
2025-01,CHEV,GRN,1
2025-01,CHEV,GRY,32
2025-01,CHEV,LBL,1
2025-01,CHEV,MAR,4
2025-01,CHEV,ONG,1
2025-01,CHEV,PLE,1
2025-01,CHEV,RED,12
2025-01,CHEV,SIL,20
2025-01,CHEV,TAN,8
2025-01,CHEV,WHI,38
2025-01,CHRY,BGE,1
2025-01,CHRY,BLK,11
2025-01,CHRY,BLU,3
2025-01,CHRY,DBL,1
2025-01,CHRY,GRN,1
2025-01,CHRY,GRY,5
2025-01,CHRY,LBL,2
2025-01,CHRY,MAR,1
2025-01,CHRY,RED,1
2025-01,CHRY,SIL,4
