Tow Date,Make,Color,Count
2024-12,CHEV,BLK,33
2024-12,CHEV,GRY,23
2024-12,CHEV,RED,14
2024-12,CHEV,SIL,29
2024-12,CHEV,WHI,27
2024-12,DODG,BLK,16
2024-12,FORD,BLK,29
2024-12,FORD,BLU,11
2024-12,FORD,GRY,22
2024-12,FORD,SIL,16
2024-12,FORD,WHI,33
2024-12,HOND,BLK,28
2024-12,HOND,BLU,15
2024-12,HOND,GRY,42
2024-12,HOND,SIL,11
2024-12,HOND,WHI,14
2024-12,HYUN,BLK,19
2024-12,HYUN,GRY,20
2024-12,JEEP,BLK,25
2024-12,JEEP,GRY,22
2024-12,JEEP,WHI,17
2024-12,KIA,BLK,11
2024-12,KIA,GRY,11
2024-12,NISS,BLK,25
2024-12,NISS,GRY,32
2024-12,NISS,SIL,20
2024-12,NISS,WHI,18
2024-12,TOYT,BLK,16
2024-12,TOYT,GRY,37
2024-12,TOYT,SIL,18
2024-12,TOYT,WHI,18
2024-12,VOLK,BLK,18
2024-12,VOLK,GRY,11
2024-12,VOLK,WHI,14
2025-01,CADI,BLK,13
2025-01,CHEV,BLK,45
2025-01,CHEV,BLU,14
2025-01,CHEV,GRY,32
2025-01,CHEV,RED,12
2025-01,CHEV,SIL,20
2025-01,CHEV,WHI,38
2025-01,CHRY,BLK,11
2025-01,DODG,BLK,25
2025-01,DODG,GRY,12
2025-01,DODG,WHI,13
2025-01,FORD,BLK,30
2025-01,FORD,BLU,14
2025-01,FORD,GRY,32
2025-01,FORD,RED,20
2025-01,FORD,SIL,11
2025-01,FORD,WHI,34
2025-01,HOND,BLK,34
2025-01,HOND,BLU,14
2025-01,HOND,GRY,40
2025-01,HOND,SIL,14
2025-01,HOND,WHI,13
2025-01,HYUN,BLK,17
2025-01,HYUN,GRY,19
2025-01,HYUN,SIL,15
2025-01,HYUN,WHI,12
2025-01,JEEP,BLK,22
2025-01,JEEP,GRY,13
2025-01,JEEP,WHI,18
2025-01,KIA,WHI,11
2025-01,NISS,BLK,33
2025-01,NISS,GRY,21
2025-01,NISS,SIL,18
2025-01,NISS,WHI,14
2025-01,TOYT,BLK,26
2025-01,TOYT,GRY,16
2025-01,TOYT,RED,12
2025-01,TOYT,SIL,15
2025-01,TOYT,WHI,17
2025-01,VOLK,BLK,16
2025-02,ACUR,BLK,12
2025-02,CHEV,BLK,55
2025-02,CHEV,BLU,25
2025-02,CHEV,GRY,34
2025-02,CHEV,RED,18
2025-02,CHEV,SIL,28
2025-02,CHEV,WHI,45
2025-02,DODG,BLK,18
2025-02,DODG,GRY,15
2025-02,DODG,WHI,13
2025-02,FORD,BLK,37
2025-02,FORD,BLU,18
2025-02,FORD,GRY,29
2025-02,FORD,RED,14
2025-02,FORD,SIL,22
2025-02,FORD,WHI,42
2025-02,HOND,BLK,30
2025-02,HOND,BLU,19
2025-02,HOND,GRY,18
2025-02,HOND,RED,11
2025-02,HOND,SIL,17
2025-02,HOND,WHI,16
2025-02,HYUN,BLK,13
2025-02,HYUN,GRY,17
2025-02,HYUN,SIL,17
2025-02,HYUN,WHI,15
2025-02,INFI,BLK,11
2025-02,JEEP,BLK,30
2025-02,JEEP,GRY,18
2025-02,JEEP,WHI,17
2025-02,KIA,GRY,13
2025-02,KIA,WHI,14
2025-02,LEXS,BLK,12
2025-02,NISS,BLK,43
2025-02,NISS,GRY,39
2025-02,NISS,RED,13
2025-02,NISS,SIL,19
2025-02,NISS,WHI,18
2025-02,TOYT,BLK,24
2025-02,TOYT,BLU,12
2025-02,TOYT,GRY,26
2025-02,TOYT,SIL,19
2025-02,TOYT,WHI,23
2025-02,VOLK,BLK,16
2025-03,CHEV,BLK,15
2025-03,CHEV,WHI,11
2025-03,FORD,WHI,20
2025-03,JEEP,BLK,12
2025-03,NISS,BLK,12
